locality   , business_name                                                  , rating, reviews, phone          , whatsapp_link             , website                                                                , has_own_site, prospect_tier, gmaps_url
Vaishali   , "Vaishnavi Multispeciality Dental And Implant Clinic Ghaziabad",    4.9,     462, "079066 41720" , https://wa.me/917906641720,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/Vaishnavi+Multispeciality+Dental+And+Implant+Clinic+Ghaziabad/data=!4m7!3m6!1s0x390cfacf67b66fd9:0xd82cea2606683037
Vaishali   , "Wisdom Dental Care"                                           ,    4.9,     195, "098182 93514" , https://wa.me/919818293514,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/Wisdom+Dental+Care/data=!4m7!3m6!1s0x390cfb5bb317a4b9:0x766d899ebe6754e3
Vaishali   , "Atharva Dental Care"                                          ,    5  ,      63, "098996 13839" , https://wa.me/919899613839,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/Atharva+Dental+Care/data=!4m7!3m6!1s0x390cfad045e07513:0xa61e9a3444efb41c
Vaishali   , "Max smile care dr shiraz faridi"                              ,    4.9,      76, "098997 32870" , https://wa.me/919899732870,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/Max+smile+care+dr+shiraz+faridi/data=!4m7!3m6!1s0x390cfadaedb32bfb:0x1bb8e3fba1c0adf3
Vaishali   , "SPARKLE DENTAL CLINIC Vaishali GZB"                           ,    5  ,       4, "098912 89820" , https://wa.me/919891289820,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/SPARKLE+DENTAL+CLINIC
Vaishali   , "Family Dental Care Dr Rahul Rana's Dental clinic"             ,    4.8,      80, "080760 06616" , https://wa.me/918076006616,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/Family+Dental+Care+Dr+Rahul+Rana
Vaishali   , "Tejas Dental Clinic & Implant Centre Vaishali-5"              ,    5  ,      10, "079069 75747" , https://wa.me/917906975747,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/Tejas+Dental+Clinic+%26+Implant+Centre
Vaishali   , "Happy Smiles - A Multispeciality Dental Clinic"               ,    4.7,      90, "098716 59279" , https://wa.me/919871659279,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/Happy+Smiles
Vaishali   , "Malik Dental"                                                 ,    5  ,      86, "089200 66098" , https://wa.me/918920066098,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/Malik+Dental
Vaishali   , "Ghaziabad Dental Clinic & Orthodontic Center"                 ,    5  ,      51, "073037 29391" , https://wa.me/917303729391,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/Ghaziabad+Dental+Clinic+%26+Orthodontic+Center
Vaishali   , "Dr. Chaudhary's Dental Clinic"                                ,    5  ,      53, "081306 17431" , https://wa.me/918130617431,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/Dr.+Chaudhary%27s+Dental+Clinic
Vaishali   , "Bhagwati Dental Care (Apollo247 listing only)"                ,    5  ,     276, "096430 27351" , https://wa.me/919643027351, https://www.apollo247.com/hospital/9fe056d9-45a6-410a-80b1-2d96c16667b6, FALSE       , PRIME        , https://www.google.com/maps/place/Bhagwati+Dental+Care
Vasundhara , "Medentomax superspeciality Implant and Dental centre"         ,    4.9,     102, "095409 37001" , https://wa.me/919540937001,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/Medentomax+superspeciality+Implant+and+Dental+centre
Vasundhara , "OPAL WHITE DENTAL IMPLANT AND BRACES CENTRE"                  ,    4.8,      91, "099535 59909" , https://wa.me/919953559909,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/OPAL+WHITE+DENTAL
Vasundhara , "Dental Greens (Root Canal & Implant Center)"                  ,    5  ,     168, "098733 51158" , https://wa.me/919873351158,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/Dental+Greens
Vasundhara , "Starline dental care and implant center"                      ,    4.9,     183, "088248 88768" , https://wa.me/918824888768,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/Starline+dental+care+and+implant+center
Vasundhara , "Aarogya Smile Dental Care"                                    ,    4.9,      89, "096344 45510" , https://wa.me/919634445510,                                                                        , FALSE       , PRIME        , https://www.google.com/maps/place/Aarogya+Smile+Dental+Care
Vasundhara , "Healthy Smiles Dental Clinic (Apollo247 listing only)"        ,    4.9,     100, "080 4435 2931", https://wa.me/918044352931, https://www.apollo247.com/doctors/dr-shruti-kalra                      , FALSE       , PRIME        , https://www.google.com/maps/place/Healthy+Smiles+Dental+Clinic
Vasundhara , "House of Smiles (Instagram only)"                             ,    4.9,     282, "098995 56554" , https://wa.me/919899556554, https://instagram.com/houseofsmilesvasundhara                          , FALSE       , PRIME        , https://www.google.com/maps/place/House+of+Smiles-Dental+clinic
Vasundhara , "My Dental Clinic (google-sites only)"                         ,    5  ,      71, "083750 99675" , https://wa.me/918375099675, https://sites.google.com/view/best-dentist-in-vasundhara/              , FALSE       , PRIME        , https://www.google.com/maps/place/My+Dental+Clinic
Vaishali   , "Dr. Devesh Jain Dental Clinic Vaishali"                       ,    5  ,     484, "098110 98106" , https://wa.me/919811098106, https://www.drdeveshjaindentalclinic.com/                              , TRUE        , SECONDARY    , https://www.google.com/maps/place/Dr.+Devesh+Jain+Dental+Clinic
Vaishali   , "family dental care centre"                                    ,    4.9,     468, "097117 78660" , https://wa.me/919711778660, https://familydentalcarecentre.in/                                     , TRUE        , SECONDARY    , https://www.google.com/maps/place/family+dental+care+centre
Vaishali   , "32 Diamonds Dental Clinic"                                    ,    4.6,     853, "093121 21010" , https://wa.me/919312121010, http://www.dentistinvaishali.com/                                      , TRUE        , SECONDARY    , https://www.google.com/maps/place/32+Diamonds+Dental+Clinic
Vaishali   , "MEDISMILE: Invisalign & Dental"                               ,    4.9,     169,                ,                           , https://medismileclinics.com/                                          , TRUE        , SECONDARY    , https://www.google.com/maps/place/MEDISMILE
Vaishali   , "Dr. Gaurav Sharma"                                            ,    5  ,     371, "098734 82399" , https://wa.me/919873482399, https://drgauravdental.in/                                             , TRUE        , SECONDARY    , https://www.google.com/maps/place/Dr.+Gaurav+Sharma
Vaishali   , "Jain Dental Centre - Vaishali"                                ,    4.9,      33, "098109 24515" , https://wa.me/919810924515, https://www.jaindentalcentre.co.in/                                    , TRUE        , SECONDARY    , https://www.google.com/maps/place/Jain+Dental+Centre
Vaishali   , "Little Smile Dental Clinic"                                   ,    5  ,      84, "088003 43131" , https://wa.me/918800343131, http://littlesmiledentalclinic.com/                                    , TRUE        , SECONDARY    , https://www.google.com/maps/place/Little+Smile+Dental+Clinic
Vaishali   , "YASHASVI MEDICAL & DENTAL CARE CENTRE"                        ,    5  ,      99, "092119 66988" , https://wa.me/919211966988, http://www.yashasvimedicaldentalcarecentre.com/                        , TRUE        , SECONDARY    , https://www.google.com/maps/place/YASHASVI+MEDICAL
Vaishali   , "SaviDhan Dental Square"                                       ,    4.9,     198, "087002 05629" , https://wa.me/918700205629, https://drmayankanddrshivangi.getmy.clinic/                            , TRUE        , SECONDARY    , https://www.google.com/maps/place/SaviDhan+Dental+Square
Vaishali   , "Dr Bandhavi's Dental Clinic & Implant Centre"                 ,    5  ,      19, "092174 22917" , https://wa.me/919217422917, https://toothsimplified.com/                                           , TRUE        , SECONDARY    , https://www.google.com/maps/place/Dr+Bandhavi
Vasundhara , "Vasundhara Dental-Dr. Vaibhav Joshi"                          ,    4.8,    1134, "093156 66853" , https://wa.me/919315666853, http://www.drvaibhavjoshi.com/                                         , TRUE        , SECONDARY    , https://www.google.com/maps/place/Vasundhara+Dental-Dr.+Vaibhav+Joshi
Vasundhara , "Cures 'n' Care Dental Clinic"                                 ,    4.9,     716, "080100 68626" , https://wa.me/918010068626, https://www.curesncaredentalclinic.com/                                , TRUE        , SECONDARY    , https://www.google.com/maps/place/Cures+%27n%27+Care+Dental+Clinic
Vasundhara , "Total Dental Solutions"                                       ,    4.9,    1355, "079825 69724" , https://wa.me/917982569724, https://www.totaldentalsolutions.co.in/                                , TRUE        , SECONDARY    , https://www.google.com/maps/place/Total+Dental+Solutions
Vasundhara , "Kutumb Dental"                                                ,    4.9,     294, "082876 61219" , https://wa.me/918287661219, https://kutumbdental.com/                                              , TRUE        , SECONDARY    , https://www.google.com/maps/place/Kutumb+Dental
Vasundhara , "Advance Dental Centre (Dr Anu Singh)"                         ,    4.9,     448, "095401 19494" , https://wa.me/919540119494, https://www.advancedentalcentre.com/                                   , TRUE        , SECONDARY    , https://www.google.com/maps/place/Advance+Dental+Centre
Vasundhara , "RAMS Dental Clinic"                                           ,    5  ,      60, "098103 13392" , https://wa.me/919810313392, https://ramsdentalcare.com/                                            , TRUE        , SECONDARY    , https://www.google.com/maps/place/RAMS+Dental+Clinic
Vasundhara , "Dr. Solanki's Dental Clinic 2C"                               ,    4.9,      77, "099109 16146" , https://wa.me/919910916146, http://drsolanki.in/                                                   , TRUE        , SECONDARY    , https://www.google.com/maps/place/Dr.+Solanki
Vasundhara , "Dental City Centre (Dr. Atul BDS)"                            ,    4.9,     240, "085276 26201" , https://wa.me/918527626201, https://dentalcitycentre.com/                                          , TRUE        , SECONDARY    , https://www.google.com/maps/place/Dental+City+Centre
Vasundhara , "Reliable Dental Care"                                         ,    4.9,     228, "097436 41158" , https://wa.me/919743641158, https://drnitinpratapshishodia.getmy.clinic/                           , TRUE        , SECONDARY    , https://www.google.com/maps/place/Reliable+Dental+Care
Vasundhara , "Elite Dental Care"                                            ,    5  ,      38, "085275 21630" , https://wa.me/918527521630, https://www.elitedentalcarecenter.com/                                 , TRUE        , SECONDARY    , https://www.google.com/maps/place/Elite+Dental+Care
Vasundhara , "Raj Dental and Implant Expert"                                ,    4.9,     164, "098108 56850" , https://wa.me/919810856850, https://rajdentalandimplantexpert.com/                                 , TRUE        , SECONDARY    , https://www.google.com/maps/place/Raj+Dental+and+Implant+Expert
Vasundhara , "Khushi Dental Care"                                           ,    4.9,     184, "099539 43342" , https://wa.me/919953943342, https://www.khushidentalcare.co.in/                                    , TRUE        , SECONDARY    , https://www.google.com/maps/place/Khushi+Dental+Care
Indirapuram, "Jain Dental Clinic"                                           ,    4.9,    2703,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Jain+Dental+Clinic/data=!4m7!3m6!1s0x390cf001b8cfd607:0x4b5cc731a77cba21
Indirapuram, "Dental Kraft - Dr. Swati Yadav"                               ,    5  ,    1006,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Dental+Kraft
Indirapuram, "White Dental Healthcare"                                      ,    4.9,     661,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/White+Dental+Healthcare
Indirapuram, "Dr Ahuja's Dental & Implant Clinic"                           ,    4.8,     214,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Dr+Ahuja
Indirapuram, "Your Dentist - Indirapuram"                                   ,    5  ,     692,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Your+Dentist+-+Indirapuram
Indirapuram, "Dr. Saket's Dental Makeover"                                  ,    4.9,     560,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Dr.+Saket
Indirapuram, "Dental Care Centre"                                           ,    4.9,     153,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Dental+Care+Centre
Indirapuram, "Apollo Dental Clinic Indirapuram"                             ,    4.8,     124,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Apollo+Dental+Clinic
Indirapuram, "Devine Dental - Dr. Preetika Goyal"                           ,    5  ,     265,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Devine+Dental
Indirapuram, "The Dental Tree And Facial Cosmetic Centre"                   ,    4.9,     485,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/The+Dental+Tree
Indirapuram, "Aryas Dental & Implant Clinic"                                ,    4.9,     203,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Aryas+Dental
Indirapuram, "Smile Dental Habitat"                                         ,    5  ,     108,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Smile+Dental+Habitat
Indirapuram, "Specialist's Dental Clinic-Dr. Pragya Kumar Mittal"           ,    5  ,      50,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Specialist
Indirapuram, "One Dental - Dr. Juhi Singh"                                  ,    4.9,     475,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/One+Dental
Indirapuram, "Dr. Verma's Indirapuram Dental Clinic"                        ,    4.9,     409,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Dr.+Verma
Indirapuram, "Big Smile Dental Clinic"                                      ,    4.9,      41,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Big+Smile+Dental+Clinic
Indirapuram, "DENTAL DOCTORS"                                               ,    4.8,      56,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/DENTAL+DOCTORS
Indirapuram, "Shree Jii Multispeciality Dental Care"                        ,    5  ,      95,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Shree+Jii
Indirapuram, "Kosmoss Dental - Dr. Varnica Sharrma"                         ,    4.9,     228,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Kosmoss+Dental
Indirapuram, "Aura Dental Avenue"                                           ,    4.9,     304,                ,                           ,                                                                        , UNKNOWN     , NEEDS_LOOKUP , https://www.google.com/maps/place/Aura+Dental+Avenue
