locality           , business_name                                              , rating, reviews, phone     , whatsapp_link             , website, has_own_site, prospect_tier, gmaps_url
Raj Nagar          , Perfect smile                                              ,    5.0,     333, 8750118906, https://wa.me/918750118906,        , FALSE       , PRIME        , https://maps.google.com/?q=Perfect+smile+dental+Raj+Nagar+Ghaziabad
Raj Nagar          , Dr. Grover's Dental & Orthodontic Clinic and Implant Centre,    4.8,     343, 9873554684, https://wa.me/919873554684,        , FALSE       , PRIME        , https://maps.google.com/?q=Dr+Grover+Dental+Raj+Nagar+Ghaziabad
Raj Nagar          , DENTAL DESIGNERS                                           ,    4.9,     104, 9568726996, https://wa.me/919568726996,        , FALSE       , PRIME        , https://maps.google.com/?q=DENTAL+DESIGNERS+RDC+Raj+Nagar+Ghaziabad
Raj Nagar          , Dr Shirley Ma Dental Clinic                                ,    5.0,      84, 9818231620, https://wa.me/919818231620,        , FALSE       , PRIME        , https://maps.google.com/?q=Dr+Shirley+Ma+Dental+Clinic+Raj+Nagar+Ghaziabad
Raj Nagar          , Dental tree - Dr. Harshit Singhal                          ,    5.0,     394, 7011639410, https://wa.me/917011639410,        , FALSE       , PRIME        , https://maps.google.com/?q=Dental+tree+Dr+Harshit+Singhal+Raj+Nagar+Ghaziabad
Raj Nagar Extension, Dr Keshav Dental and Implant Clinic                        ,    4.9,     186, 6360268937, https://wa.me/916360268937,        , FALSE       , PRIME        , https://maps.google.com/?q=Dr+Keshav+Dental+Implant+Raj+Nagar+Extension+Ghaziabad
Raj Nagar Extension, Dental Kreations Clinic                                    ,    5.0,     134, 9958739374, https://wa.me/919958739374,        , FALSE       , PRIME        , https://maps.google.com/?q=Dental+Kreations+Clinic+Raj+Nagar+Extension+Ghaziabad
Raj Nagar Extension, Snehy's Clinic                                             ,    4.8,     122, 9999847649, https://wa.me/919999847649,        , FALSE       , PRIME        , https://maps.google.com/?q=Snehy+Clinic+Windsor+Paradise+Raj+Nagar+Extension+Ghaziabad
Raj Nagar Extension, Ghaziabad Dental Care                                      ,    4.9,      57, 9716675343, https://wa.me/919716675343,        , FALSE       , PRIME        , https://maps.google.com/?q=Ghaziabad+Dental+Care+Raj+Nagar+Extension+Ghaziabad
Raj Nagar Extension, Sahaj Orthopaedic and Dental Clinic                        ,    5.0,      83, 9560087974, https://wa.me/919560087974,        , FALSE       , PRIME        , https://maps.google.com/?q=Sahaj+Dental+KW+Srishti+Raj+Nagar+Extension+Ghaziabad
Raj Nagar Extension, Chaturvedi Dental Clinic                                   ,    5.0,      50, 9810513103, https://wa.me/919810513103,        , FALSE       , PRIME        , https://maps.google.com/?q=Chaturvedi+Dental+Clinic+Raj+Nagar+Extension+Ghaziabad
Raj Nagar Extension, Bhawani Dental Clinic - Dr Astha Yadav                     ,    4.8,      51, 8800136464, https://wa.me/918800136464,        , FALSE       , PRIME        , https://maps.google.com/?q=Bhawani+Dental+Clinic+Raj+Nagar+Extension+Ghaziabad
Raj Nagar Extension, Shree Vinayak Dental Care Clinic                           ,    5.0,      51, 9719173400, https://wa.me/919719173400,        , FALSE       , PRIME        , https://maps.google.com/?q=Shree+Vinayak+Dental+Care+Raj+Nagar+Extension+Ghaziabad
Raj Nagar Extension, Dr Bagdi Dental Clinic Sihani                              ,    5.0,      44, 9315707682, https://wa.me/919315707682,        , FALSE       , PRIME        , https://maps.google.com/?q=Dr+Bagdi+Dental+Clinic+Sihani+Ghaziabad
